,Steering,Throttle,Brake,Gear,Objects
10,0.0383045,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18932.7,', '9213.13,', '3.23729)', 'Rotation', '(-0.00466919,', '0.0482006,', '90.8165)'], ['Id:', '449', 'Location:', '(18940.6,', '8662.95,', '282.775)', 'Rotation', '(-0.00483291,', '-14.9518,', '90.8178)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
11,0.0372607,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18932.3,', '9223.69,', '3.28909)', 'Rotation', '(-0.00482178,', '0.0493481,', '90.9093)'], ['Id:', '449', 'Location:', '(18941.1,', '8673.52,', '282.815)', 'Rotation', '(-0.00499019,', '-14.9507,', '90.9106)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
12,0.036286,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18931.8,', '9236.16,', '3.31235)', 'Rotation', '(-0.00506592,', '0.0505571,', '91.0156)'], ['Id:', '449', 'Location:', '(18941.6,', '8686,', '282.827)', 'Rotation', '(-0.00524289,', '-14.9494,', '91.017)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
13,0.0350107,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18931.3,', '9250.37,', '3.32466)', 'Rotation', '(-0.0050354,', '0.0489998,', '91.1324)'], ['Id:', '449', 'Location:', '(18942.2,', '8700.23,', '282.854)', 'Rotation', '(-0.005212,', '-14.951,', '91.1338)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
14,0.0336589,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18930.7,', '9266.04,', '3.3327)', 'Rotation', '(-0.00482178,', '0.0453046,', '91.2563)'], ['Id:', '449', 'Location:', '(18942.8,', '8715.95,', '282.898)', 'Rotation', '(-0.00499116,', '-14.9547,', '91.2576)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
15,0.0321153,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18930,', '9283.07,', '3.33798)', 'Rotation', '(-0.00460815,', '0.0416505,', '91.3846)'], ['Id:', '449', 'Location:', '(18943.3,', '8733.03,', '282.938)', 'Rotation', '(-0.00477032,', '-14.9583,', '91.3858)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
16,0.0305526,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18929.2,', '9301.38,', '3.34144)', 'Rotation', '(-0.00442505,', '0.0387272,', '91.5156)'], ['Id:', '449', 'Location:', '(18943.8,', '8751.39,', '282.97)', 'Rotation', '(-0.00458127,', '-14.9613,', '91.5168)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
17,0.0287762,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18928.3,', '9320.92,', '3.34375)', 'Rotation', '(-0.00418091,', '0.0365074,', '91.6474)'], ['Id:', '449', 'Location:', '(18944.2,', '8770.97,', '282.993)', 'Rotation', '(-0.00432768,', '-14.9635,', '91.6485)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
18,0.0269186,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18927.4,', '9341.65,', '3.34541)', 'Rotation', '(-0.00396729,', '0.0347998,', '91.7781)'], ['Id:', '449', 'Location:', '(18944.5,', '8791.75,', '283.011)', 'Rotation', '(-0.00410766,', '-14.9652,', '91.7792)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
19,0.0248614,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18926.4,', '9363.53,', '3.34667)', 'Rotation', '(-0.00366211,', '0.0334201,', '91.9056)'], ['Id:', '449', 'Location:', '(18944.7,', '8813.67,', '283.026)', 'Rotation', '(-0.0037913,', '-14.9666,', '91.9066)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
