,image,vel,steer_pos,throttle_pos,objects
167,[141 132 131 ... 206 214 255],44.6,0.0,0.63,"[Actor(id=103, type=vehicle.toyota.prius), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=52, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
168,[142 133 131 ... 209 216 255],44.59,0.0,0.63,"[Actor(id=101, type=vehicle.lincoln.mkz2017), Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=42, type=traffic.speed_limit.30), Actor(id=51, type=traffic.traffic_light), Actor(id=53, type=traffic.traffic_light)]"
169,[141 133 131 ... 201 208 255],44.57,0.0,0.64,[]
170,[141 133 131 ... 205 213 255],44.53,0.0,0.64,"[Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=103, type=vehicle.toyota.prius), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=52, type=traffic.traffic_light), Actor(id=53, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
171,[141 132 131 ... 209 215 255],44.49,0.0,0.64,"[Actor(id=101, type=vehicle.lincoln.mkz2017), Actor(id=38, type=traffic.speed_limit.60), Actor(id=42, type=traffic.speed_limit.30)]"
172,[141 133 131 ... 191 198 255],44.43,0.0,0.64,[]
173,[141 133 131 ... 206 215 255],44.37,-0.0,0.64,"[Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=103, type=vehicle.toyota.prius), Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=42, type=traffic.speed_limit.30), Actor(id=51, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
174,[141 132 131 ... 206 214 255],44.31,-0.0,0.64,[]
175,[142 133 131 ... 209 216 255],44.25,-0.0,0.65,[]
176,[141 133 131 ... 201 208 255],44.2,-0.0,0.65,"[Actor(id=101, type=vehicle.lincoln.mkz2017), Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=103, type=vehicle.toyota.prius), Actor(id=42, type=traffic.speed_limit.30)]"
177,[141 133 131 ... 205 213 255],44.18,-0.0,0.65,"[Actor(id=38, type=traffic.speed_limit.60)]"
178,[141 132 131 ... 209 215 255],44.16,-0.0,0.65,[]
179,[141 133 131 ... 191 198 255],44.15,-0.0,0.65,"[Actor(id=101, type=vehicle.lincoln.mkz2017), Actor(id=102, type=vehicle.chevrolet.impala), Actor(id=42, type=traffic.speed_limit.30)]"
180,[141 133 131 ... 206 215 255],44.14,-0.0,0.65,"[Actor(id=38, type=traffic.speed_limit.60)]"
181,[141 132 131 ... 206 214 255],44.14,-0.0,0.65,[]
182,[142 133 131 ... 209 216 255],44.14,-0.0,0.65,"[Actor(id=101, type=vehicle.lincoln.mkz2017), Actor(id=102, type=vehicle.chevrolet.impala)]"
