,image,vel,steer_pos,throttle_pos,objects
37,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
38,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,[]
39,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
40,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
41,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,[]
42,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
43,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
44,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,[]
45,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
46,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
47,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,[]
48,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
49,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
50,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,[]
51,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
52,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
53,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,[]
54,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
55,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
56,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,[]
57,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
58,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
59,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,[]
60,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
61,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
62,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,[]
